"","ipdN","st","epiyrN","cmlevel","epiyr","agec","offset","cm.age.level"
"1",4,"1",3,"0",1994,1,3.2372613781,"0_1"
"2",7,"1",4,"0",1995,1,3.309206358,"0_1"
"3",10,"1",5,"0",1996,1,3.3685549554,"0_1"
"4",8,"1",6,"0",1997,1,3.3883355848,"0_1"
"5",5,"1",7,"0",1998,1,3.3857479579,"0_1"
"6",2,"1",8,"0",1999,1,3.3919888131,"0_1"
"7",1,"1",9,"0",2000,1,3.344126142,"0_1"
"8",4,"1",10,"0",2001,1,3.308073347,"0_1"
"9",6,"1",11,"0",2002,1,3.267262325,"0_1"
"10",8,"1",12,"0",2003,1,3.2504270797,"0_1"
"11",6,"1",13,"0",2004,1,3.2355729128,"0_1"
"12",3,"1",14,"0",2005,1,3.2140011829,"0_1"
"13",4,"1",15,"0",2006,1,3.1933477966,"0_1"
"14",4,"1",16,"0",2007,1,3.1851704932,"0_1"
"15",4,"1",17,"0",2008,1,3.1577833678,"0_1"
"16",7,"1",18,"0",2009,1,3.1875210331,"0_1"
"17",10,"1",19,"0",2010,1,3.171396719,"0_1"
"18",5,"1",20,"0",2011,1,3.1579784711,"0_1"
"19",4,"1",21,"0",2012,1,3.1088212313,"0_1"
"20",1,"1",22,"0",2013,1,3.0697726219,"0_1"
"21",0,"1",23,"0",2014,1,2.9597106602,"0_1"
"22",12,"1",3,"0",1994,2,7.4884831474,"0_2"
"23",14,"1",4,"0",1995,2,7.4535665622,"0_2"
"24",15,"1",5,"0",1996,2,7.4798293756,"0_2"
"25",8,"1",6,"0",1997,2,7.4896050153,"0_2"
"26",2,"1",7,"0",1998,2,7.5088928945,"0_2"
"27",2,"1",8,"0",1999,2,7.5732806693,"0_2"
"28",8,"1",9,"0",2000,2,7.6309728364,"0_2"
"29",4,"1",10,"0",2001,2,7.7408292187,"0_2"
"30",18,"1",11,"0",2002,2,7.9084607303,"0_2"
"31",16,"1",12,"0",2003,2,8.0316785368,"0_2"
"32",17,"1",13,"0",2004,2,8.1362201075,"0_2"
"33",11,"1",14,"0",2005,2,8.1550554749,"0_2"
"34",4,"1",15,"0",2006,2,8.1715642884,"0_2"
"35",3,"1",16,"0",2007,2,8.1781910474,"0_2"
"36",5,"1",17,"0",2008,2,8.2153134652,"0_2"
"37",23,"1",18,"0",2009,2,8.18424791,"0_2"
"38",12,"1",19,"0",2010,2,8.1611246347,"0_2"
"39",13,"1",20,"0",2011,2,8.0485284601,"0_2"
"40",10,"1",21,"0",2012,2,8.055372843,"0_2"
"41",4,"1",22,"0",2013,2,8.0849901408,"0_2"
"42",1,"1",23,"0",2014,2,7.9952078959,"0_2"
"43",25,"1",3,"0",1994,3,16.807260509,"0_3"
"44",67,"1",4,"0",1995,3,16.66457298,"0_3"
"45",49,"1",5,"0",1996,3,16.523171012,"0_3"
"46",22,"1",6,"0",1997,3,16.376828924,"0_3"
"47",11,"1",7,"0",1998,3,16.186848417,"0_3"
"48",8,"1",8,"0",1999,3,16.000817867,"0_3"
"49",12,"1",9,"0",2000,3,15.861416719,"0_3"
"50",20,"1",10,"0",2001,3,15.618257222,"0_3"
"51",33,"1",11,"0",2002,3,15.15782232,"0_3"
"52",28,"1",12,"0",2003,3,14.995921753,"0_3"
"53",36,"1",13,"0",2004,3,14.657923019,"0_3"
"54",19,"1",14,"0",2005,3,14.317432061,"0_3"
"55",13,"1",15,"0",2006,3,14.12524431,"0_3"
"56",9,"1",16,"0",2007,3,13.926060477,"0_3"
"57",12,"1",17,"0",2008,3,13.757657678,"0_3"
"58",25,"1",18,"0",2009,3,13.717970984,"0_3"
"59",29,"1",19,"0",2010,3,13.651126336,"0_3"
"60",33,"1",20,"0",2011,3,13.734218608,"0_3"
"61",20,"1",21,"0",2012,3,13.387056507,"0_3"
"62",6,"1",22,"0",2013,3,13.559024561,"0_3"
"63",4,"1",23,"0",2014,3,13.54056408,"0_3"
"64",45,"1",3,"0",1994,4,15.665018012,"0_4"
"65",77,"1",4,"0",1995,4,15.597572349,"0_4"
"66",72,"1",5,"0",1996,4,15.593949224,"0_4"
"67",45,"1",6,"0",1997,4,15.660884235,"0_4"
"68",23,"1",7,"0",1998,4,15.723167798,"0_4"
"69",20,"1",8,"0",1999,4,15.668574231,"0_4"
"70",19,"1",9,"0",2000,4,15.80200898,"0_4"
"71",43,"1",10,"0",2001,4,15.716195109,"0_4"
"72",63,"1",11,"0",2002,4,15.769854869,"0_4"
"73",63,"1",12,"0",2003,4,15.819028436,"0_4"
"74",33,"1",13,"0",2004,4,15.847260295,"0_4"
"75",27,"1",14,"0",2005,4,15.96373429,"0_4"
"76",22,"1",15,"0",2006,4,15.801552925,"0_4"
"77",18,"1",16,"0",2007,4,16.13765724,"0_4"
"78",35,"1",17,"0",2008,4,16.216911134,"0_4"
"79",55,"1",18,"0",2009,4,16.203912793,"0_4"
"80",39,"1",19,"0",2010,4,16.048324531,"0_4"
"81",52,"1",20,"0",2011,4,15.964682681,"0_4"
"82",49,"1",21,"0",2012,4,15.550009852,"0_4"
"83",13,"1",22,"0",2013,4,15.571061719,"0_4"
"84",5,"1",23,"0",2014,4,15.476875158,"0_4"
"85",47,"1",3,"0",1994,5,7.4809243881,"0_5"
"86",83,"1",4,"0",1995,5,7.1015717027,"0_5"
"87",83,"1",5,"0",1996,5,6.8974275346,"0_5"
"88",39,"1",6,"0",1997,5,6.5271807311,"0_5"
"89",12,"1",7,"0",1998,5,6.2238996305,"0_5"
"90",8,"1",8,"0",1999,5,6.3038500377,"0_5"
"91",19,"1",9,"0",2000,5,6.0370032854,"0_5"
"92",26,"1",10,"0",2001,5,5.7579571837,"0_5"
"93",31,"1",11,"0",2002,5,5.982842126,"0_5"
"94",35,"1",12,"0",2003,5,5.9364561538,"0_5"
"95",41,"1",13,"0",2004,5,5.6612443952,"0_5"
"96",25,"1",14,"0",2005,5,5.6695741466,"0_5"
"97",7,"1",15,"0",2006,5,5.6999280906,"0_5"
"98",14,"1",16,"0",2007,5,5.8015548983,"0_5"
"99",19,"1",17,"0",2008,5,5.6456305085,"0_5"
"100",37,"1",18,"0",2009,5,5.8452740828,"0_5"
"101",42,"1",19,"0",2010,5,5.9167944175,"0_5"
"102",22,"1",20,"0",2011,5,6.0759722603,"0_5"
"103",28,"1",21,"0",2012,5,6.3098332143,"0_5"
"104",6,"1",22,"0",2013,5,6.2753467021,"0_5"
"105",2,"1",23,"0",2014,5,6.5785309683,"0_5"
"106",0,"1",3,"1",1994,1,0.0276886219,"1_1"
"107",0,"1",4,"1",1995,1,0.041723642,"1_1"
"108",2,"1",5,"1",1996,1,0.0634750446,"1_1"
"109",0,"1",6,"1",1997,1,0.0796744152,"1_1"
"110",1,"1",7,"1",1998,1,0.0771720421,"1_1"
"111",0,"1",8,"1",1999,1,0.0548611869,"1_1"
"112",1,"1",9,"1",2000,1,0.061803858,"1_1"
"113",1,"1",10,"1",2001,1,0.067816653,"1_1"
"114",1,"1",11,"1",2002,1,0.087807675,"1_1"
"115",1,"1",12,"1",2003,1,0.0701329203,"1_1"
"116",1,"1",13,"1",2004,1,0.0681970872,"1_1"
"117",1,"1",14,"1",2005,1,0.0665588171,"1_1"
"118",1,"1",15,"1",2006,1,0.0581722034,"1_1"
"119",0,"1",16,"1",2007,1,0.0636595068,"1_1"
"120",0,"1",17,"1",2008,1,0.0982766322,"1_1"
"121",0,"1",18,"1",2009,1,0.0817989669,"1_1"
"122",1,"1",19,"1",2010,1,0.089273281,"1_1"
"123",1,"1",20,"1",2011,1,0.0969715289,"1_1"
"124",0,"1",21,"1",2012,1,0.0832087687,"1_1"
"125",0,"1",22,"1",2013,1,0.0597873781,"1_1"
"126",0,"1",23,"1",2014,1,0.0781093398,"1_1"
"127",0,"1",3,"1",1994,2,0.0753368526,"1_2"
"128",0,"1",4,"1",1995,2,0.0858034378,"1_2"
"129",1,"1",5,"1",1996,2,0.1334006244,"1_2"
"130",0,"1",6,"1",1997,2,0.1803149847,"1_2"
"131",0,"1",7,"1",1998,2,0.2597671055,"1_2"
"132",0,"1",8,"1",1999,2,0.3096293307,"1_2"
"133",0,"1",9,"1",2000,2,0.4222471636,"1_2"
"134",1,"1",10,"1",2001,2,0.4934907813,"1_2"
"135",0,"1",11,"1",2002,2,0.5057292697,"1_2"
"136",1,"1",12,"1",2003,2,0.5407914632,"1_2"
"137",2,"1",13,"1",2004,2,0.5496298925,"1_2"
"138",1,"1",14,"1",2005,2,0.6192745251,"1_2"
"139",0,"1",15,"1",2006,2,0.6825757116,"1_2"
"140",0,"1",16,"1",2007,2,0.7120789526,"1_2"
"141",0,"1",17,"1",2008,2,0.6834665348,"1_2"
"142",2,"1",18,"1",2009,2,0.71848209,"1_2"
"143",0,"1",19,"1",2010,2,0.7333053653,"1_2"
"144",3,"1",20,"1",2011,2,0.8068415399,"1_2"
"145",0,"1",21,"1",2012,2,0.775487157,"1_2"
"146",1,"1",22,"1",2013,2,0.6884598592,"1_2"
"147",0,"1",23,"1",2014,2,0.7412121041,"1_2"
"148",2,"1",3,"1",1994,3,0.1606494907,"1_3"
"149",6,"1",4,"1",1995,3,0.2728170201,"1_3"
"150",4,"1",5,"1",1996,3,0.4201389878,"1_3"
"151",4,"1",6,"1",1997,3,0.5278910758,"1_3"
"152",0,"1",7,"1",1998,3,0.6356815827,"1_3"
"153",2,"1",8,"1",1999,3,0.7159121326,"1_3"
"154",0,"1",9,"1",2000,3,0.7105632814,"1_3"
"155",2,"1",10,"1",2001,3,0.7748927778,"1_3"
"156",4,"1",11,"1",2002,3,1.0510376798,"1_3"
"157",5,"1",12,"1",2003,3,1.0145482467,"1_3"
"158",3,"1",13,"1",2004,3,1.1181069806,"1_3"
"159",4,"1",14,"1",2005,3,1.2185679389,"1_3"
"160",3,"1",15,"1",2006,3,1.1856956902,"1_3"
"161",5,"1",16,"1",2007,3,1.1812895229,"1_3"
"162",3,"1",17,"1",2008,3,1.3101223223,"1_3"
"163",7,"1",18,"1",2009,3,1.4113490164,"1_3"
"164",9,"1",19,"1",2010,3,1.4989036643,"1_3"
"165",3,"1",20,"1",2011,3,1.4848713916,"1_3"
"166",1,"1",21,"1",2012,3,1.8428934932,"1_3"
"167",1,"1",22,"1",2013,3,1.7149754386,"1_3"
"168",1,"1",23,"1",2014,3,1.8374159202,"1_3"
"169",7,"1",3,"1",1994,4,0.4938619877,"1_4"
"170",9,"1",4,"1",1995,4,0.7453476511,"1_4"
"171",20,"1",5,"1",1996,4,0.9725707762,"1_4"
"172",14,"1",6,"1",1997,4,1.1178057653,"1_4"
"173",5,"1",7,"1",1998,4,1.2566422024,"1_4"
"174",9,"1",8,"1",1999,4,1.5160357694,"1_4"
"175",6,"1",9,"1",2000,4,1.5630410204,"1_4"
"176",17,"1",10,"1",2001,4,1.8542848906,"1_4"
"177",8,"1",11,"1",2002,4,1.9897251309,"1_4"
"178",15,"1",12,"1",2003,4,2.1290315636,"1_4"
"179",18,"1",13,"1",2004,4,2.3177097047,"1_4"
"180",14,"1",14,"1",2005,4,2.4343957097,"1_4"
"181",7,"1",15,"1",2006,4,2.8261670746,"1_4"
"182",8,"1",16,"1",2007,4,2.7392827603,"1_4"
"183",17,"1",17,"1",2008,4,2.7879688659,"1_4"
"184",28,"1",18,"1",2009,4,2.8542672075,"1_4"
"185",19,"1",19,"1",2010,4,2.9653354688,"1_4"
"186",21,"1",20,"1",2011,4,2.9743773189,"1_4"
"187",15,"1",21,"1",2012,4,3.3214701485,"1_4"
"188",7,"1",22,"1",2013,4,3.2801982809,"1_4"
"189",5,"1",23,"1",2014,4,3.3759148419,"1_4"
"190",8,"1",3,"1",1994,5,0.5299356119,"1_5"
"191",32,"1",4,"1",1995,5,0.8849982973,"1_5"
"192",29,"1",5,"1",1996,5,1.0577524654,"1_5"
"193",18,"1",6,"1",1997,5,1.4026892689,"1_5"
"194",8,"1",7,"1",1998,5,1.6907803695,"1_5"
"195",5,"1",8,"1",1999,5,1.6008199623,"1_5"
"196",18,"1",9,"1",2000,5,1.8670167146,"1_5"
"197",25,"1",10,"1",2001,5,2.1603228163,"1_5"
"198",29,"1",11,"1",2002,5,1.962997874,"1_5"
"199",48,"1",12,"1",2003,5,2.0470538462,"1_5"
"200",30,"1",13,"1",2004,5,2.3845356048,"1_5"
"201",16,"1",14,"1",2005,5,2.4554558534,"1_5"
"202",8,"1",15,"1",2006,5,2.5303419094,"1_5"
"203",15,"1",16,"1",2007,5,2.5458951017,"1_5"
"204",16,"1",17,"1",2008,5,2.8847794915,"1_5"
"205",46,"1",18,"1",2009,5,2.9096859172,"1_5"
"206",38,"1",19,"1",2010,5,3.1117955825,"1_5"
"207",38,"1",20,"1",2011,5,3.2618377397,"1_5"
"208",25,"1",21,"1",2012,5,3.3710067857,"1_5"
"209",17,"1",22,"1",2013,5,3.7226632979,"1_5"
"210",5,"1",23,"1",2014,5,3.6888090317,"1_5"
"211",1,"10A",3,"0",1994,1,3.2372613781,"0_1"
"212",0,"10A",4,"0",1995,1,3.309206358,"0_1"
"213",0,"10A",5,"0",1996,1,3.3685549554,"0_1"
"214",0,"10A",6,"0",1997,1,3.3883355848,"0_1"
"215",0,"10A",7,"0",1998,1,3.3857479579,"0_1"
"216",1,"10A",8,"0",1999,1,3.3919888131,"0_1"
"217",0,"10A",9,"0",2000,1,3.344126142,"0_1"
"218",0,"10A",10,"0",2001,1,3.308073347,"0_1"
"219",0,"10A",11,"0",2002,1,3.267262325,"0_1"
"220",1,"10A",12,"0",2003,1,3.2504270797,"0_1"
"221",0,"10A",13,"0",2004,1,3.2355729128,"0_1"
"222",0,"10A",14,"0",2005,1,3.2140011829,"0_1"
"223",1,"10A",15,"0",2006,1,3.1933477966,"0_1"
"224",0,"10A",16,"0",2007,1,3.1851704932,"0_1"
"225",0,"10A",17,"0",2008,1,3.1577833678,"0_1"
"226",0,"10A",18,"0",2009,1,3.1875210331,"0_1"
"227",0,"10A",19,"0",2010,1,3.171396719,"0_1"
"228",1,"10A",20,"0",2011,1,3.1579784711,"0_1"
"229",1,"10A",21,"0",2012,1,3.1088212313,"0_1"
"230",1,"10A",22,"0",2013,1,3.0697726219,"0_1"
"231",0,"10A",23,"0",2014,1,2.9597106602,"0_1"
"232",0,"10A",3,"0",1994,2,7.4884831474,"0_2"
"233",0,"10A",4,"0",1995,2,7.4535665622,"0_2"
"234",0,"10A",5,"0",1996,2,7.4798293756,"0_2"
"235",0,"10A",6,"0",1997,2,7.4896050153,"0_2"
"236",0,"10A",7,"0",1998,2,7.5088928945,"0_2"
"237",0,"10A",8,"0",1999,2,7.5732806693,"0_2"
"238",0,"10A",9,"0",2000,2,7.6309728364,"0_2"
"239",0,"10A",10,"0",2001,2,7.7408292187,"0_2"
"240",0,"10A",11,"0",2002,2,7.9084607303,"0_2"
"241",0,"10A",12,"0",2003,2,8.0316785368,"0_2"
"242",0,"10A",13,"0",2004,2,8.1362201075,"0_2"
"243",0,"10A",14,"0",2005,2,8.1550554749,"0_2"
"244",0,"10A",15,"0",2006,2,8.1715642884,"0_2"
"245",0,"10A",16,"0",2007,2,8.1781910474,"0_2"
"246",1,"10A",17,"0",2008,2,8.2153134652,"0_2"
"247",0,"10A",18,"0",2009,2,8.18424791,"0_2"
"248",0,"10A",19,"0",2010,2,8.1611246347,"0_2"
"249",1,"10A",20,"0",2011,2,8.0485284601,"0_2"
"250",0,"10A",21,"0",2012,2,8.055372843,"0_2"
"251",0,"10A",22,"0",2013,2,8.0849901408,"0_2"
"252",0,"10A",23,"0",2014,2,7.9952078959,"0_2"
"253",0,"10A",3,"0",1994,3,16.807260509,"0_3"
